Only x86_64 / Linux distributed in NPM package right now.
Trying globally installed anchor.
    Finished release [optimized] target(s) in 0.34s
Ledger location: .anchor/test-ledger
Log: .anchor/test-ledger/validator.log
Initializing...
thread 'main' panicked at cli/src/lib.rs:4309:48:
called `Option::unwrap()` on a `None` value
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
Waiting for fees to stabilize 1...
Waiting for fees to stabilize 2...
Connecting...
Identity: 6QeckaCUbewqP2NqjRwrvk6B38F93HAEp7DCH8unPTY1
Genesis Hash: CMEKF79MrXq5qf4EHvUniUoCoJncAfnsoB48GQXQeb7s
Version: 1.16.24
Shred Version: 54965
Gossip Address: 127.0.0.1:1024
TPU Address: 127.0.0.1:1027
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:31 | Processed Slot: 65 | Confirmed Slot: 65 | Finalized Slot: 33 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 65 | ◎499.999682500
00:00:32 | Processed Slot: 66 | Confirmed Slot: 66 | Finalized Slot: 34 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 66 | ◎499.999677500
00:00:32 | Processed Slot: 66 | Confirmed Slot: 66 | Finalized Slot: 34 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 66 | ◎499.999677500
00:00:32 | Processed Slot: 67 | Confirmed Slot: 67 | Finalized Slot: 35 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 67 | ◎499.999672500
00:00:32 | Processed Slot: 67 | Confirmed Slot: 67 | Finalized Slot: 35 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 67 | ◎499.999672500
00:00:33 | Processed Slot: 68 | Confirmed Slot: 68 | Finalized Slot: 36 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 68 | ◎499.999667500
00:00:33 | Processed Slot: 69 | Confirmed Slot: 69 | Finalized Slot: 37 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 69 | ◎499.999662500
00:00:33 | Processed Slot: 69 | Confirmed Slot: 69 | Finalized Slot: 37 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 69 | ◎499.999662500
00:00:33 | Processed Slot: 70 | Confirmed Slot: 70 | Finalized Slot: 38 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 70 | ◎499.999657500
00:00:34 | Processed Slot: 70 | Confirmed Slot: 70 | Finalized Slot: 38 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 70 | ◎499.999657500
00:00:34 | Processed Slot: 71 | Confirmed Slot: 71 | Finalized Slot: 39 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 71 | ◎499.999652500
